;RESTRICAO;FARELO;SOJA;MILHO;ACUCAR;CELULOSE;CONTEINER;KCL;UREIA;OUTROS;ENXOFRE
TAC;0;0;0;0;0;0;0.0;0;0;0;0
TAC ACUCAR;0;0;0;0;0;0;0.0;0;0;0;0
CLI;0;0;0;0;0;0;0.0;0;0;0;0
CLI ACUCAR;0;0;0;0;0;0;0.0;0;0;0;0
MOEGA X;0;0;0;0;0;0;0.0;0;0;0;0
MOEGA V;1;0;0;1;0;0;0.0;0;0;0;0
CUTRALE;0;0;0;0;0;0;0.0;0;0;0;0
TEG;0;0;0;0;0;0;0.0;0;0;0;0
TEAG;0;0;0;0;0;0;0.0;0;0;0;0
TEAG ACUCAR;0;0;0;0;0;0;0.0;0;0;0;0
TERMAG;1;0;0;0;0;0;0.0;1;0;0;0
TGG;1;0;0;1;0;0;0.0;0;0;0;0
TES;0;0;0;0;0;0;0.0;0;0;0;0
T39;0;0;0;0;0;0;0.0;0;0;0;0
TGRAO;0;0;0;0;0;0;0.0;0;0;0;0
T12A;0;0;0;0;0;0;0.0;0;0;0;0
TERLOC;0;0;0;0;0;0;0.0;0;0;0;0
TIPLAM;0;0;0;0;0;0;0.0;0;0;0;0
DPW;0;0;0;0;0;0;0.0;0;0;0;0
BRACELL;0;0;0;0;0;0;0.0;0;0;0;0
ELDORADO;0;0;0;0;0;0;0.0;0;0;0;0
SBR;0;0;0;0;0;0;0.0;0;0;0;0
ECOPORTO;0;0;0;0;0;0;0.0;0;0;0;0
HIDROVIAS;0;0;0;0;0;0;0.0;0;0;0;0
